"school_id","nces_id","school_type","year"
252,"450390901615","Public charter school",2021
253,NA,"Independent (private) school",2023
256,"60221514355","Public charter school",2024
259,"200555001294","Public district school",2021
260,"200555001296","Public district school",2021
262,"080348006597","Public district school",2023
266,NA,"Independent (private) school",2025
267,"482364013046","Public district school",2025
268,"420081206819","Public charter school",2024
269,"500039700171","Public district school",2021
270,"550006902920","Public charter school",2023
272,"130228004259","Public charter school",2021
275,"291518000691","Public district school",2022
276,NA,"Public district school",2025
278,"250279000837","Public district school",2025
279,"050612000321","Public district school",2023
280,"080453000667","Public district school",2021
281,"350006001098","Public charter school",2022
283,"020018000555","Public charter school",2021
284,NA,"Independent (private) school",2025
287,"110003000524","Public district school",2021
289,"330558000359","Public district school",2021
291,"240051001738","Public district school",2023
292,"170993006293","Public charter school",2025
293,NA,"Public district school",2024
294,"062187005524","Public district school",2021
296,"201284000723","Public district school",2022
297,"361641001448","Public district school",2021
299,"292355003313","Public district school",2022
300,"250678002779","Public district school",2021
301,"200873001286","Public district school",2021
302,"50894001363","Public district school",2025
303,"220031402466","Public charter school",2024
306,"340079203419","Public charter school",2025
307,"050948000693","Public district school",2021
308,"180019402642","Public charter school",2023
309,"063384011194","Public charter school",2021
311,"A0303404","Independent (private) school",2021
312,"470318002136","Public district school",2025
313,"272124001903","Public district school",2024
316,"060157111631","Public charter school",2021
317,"341134002194","Public district school",2021
318,"362070002910","Public district school",2024
319,"250768001202","Public district school",2025
320,"60003414243","Public district school",2025
323,"370039403360","Public charter school",2025
324,"270017303041","Public charter school",2021
325,NA,"Independent (private) school",2025
327,"530771001228","Public district school",2021
329,"220030902475","Public charter school",2025
330,"200001500463","Public district school",2023
331,"120201502912","Public district school",2021
332,"550007903064","Public charter school",2023
333,"040040703448","Public charter school",2023
334,"040040702558","Public charter school",2021
337,"100000500013","Public charter school",2025
339,"484428005052","Public district school",2021
340,"80435000623","Public district school",2025
345,"2120766","Independent (private) school",2025
346,"63432011154","Public district school",2024
347,"A9101311","Independent (private) school",2021
348,"421899000923","Public district school",2025
349,"350006001117","Public charter school",2021
351,"",NA,2021
353,"360114706595","Public charter school",2025
355,"040423000677","Public district school",2021
356,"201206000401","Public district school",2022
357,"530870002846","Public district school",2021
358,"A1300454","Independent (private) school",2022
359,"350006001112","Public charter school",2025
360,NA,"Public district school",2025
361,"220018802340","Public charter school",2024
362,"251113002137","Public district school",2021
363,"370078002892","Public district school",2021
364,"290002702808","Public charter school",2023
365,"A1303067","Independent (private) school",2021
366,"110003000505","Public district school",2021
368,"A1792034","Independent (private) school",2025
369,"350252001021","Public charter school",2024
371,"268099008165","Public district school",2025
372,"080408000096","Public district school",2023
373,"390450801986","Public district school",2021
379,"360117706638","Public charter school",2021
380,"370333003439","Public district school",2025
382,NA,"Public district school",2025
383,"262724008274","Public district school",2024
384,"261725008242","Public district school",2024
388,"510147000649","Public district school",2024
389,"500044500119","Public district school",2025
390,"500043700118","Public district school",2023
391,"","Public district school",2021
394,"500824300343","Public district school",2025
395,"500043300195","Public district school",2024
396,"","Public charter school",2021
397,"483432003856","Public district school",2021
399,"01611813","Independent (private) school",2021
400,"10020102472","Public charter school",2025
402,"010020402476","Public charter school",2021
405,"040092403436","Public charter school",2021
406,"040633002670","Public district school",2023
408,"",NA,2021
410,"60149008724","Public charter school",2025
411,"60227214331","Public charter school",2024
415,"60201312901","Public charter school",2025
416,"060225311800","Public charter school",2021
417,"80336000357","Public district school",2024
418,"80336006686","Public district school",2022
419,"080336000420","Public district school",2021
420,"080336001276","Public district school",2021
421,"90021901782","Public charter school",2022
423,"110003000084","Public district school",2021
424,"110003000085","Public district school",2021
425,"110003100419","Public charter school",2024
426,"110007300412","Public charter school",2023
429,"421899007548","Public district school",2025
430,"421899007534","Public district school",2025
431,"421899007547","Public district school",2025
434,"360118206634","Public charter school",2021
439,"50824000545","Public district school",2024
440,"130174004039","Public charter school",2022
443,"","Public charter school",2021
445,"210354001545","Public district school",2025
447,"150003000299","Public charter school",2025
448,"150003000276","Public charter school",2023
452,"231478500729","Public district school",2024
455,"251185001938","Public district school",2025
457,"350017401113","Public charter school",2023
458,"350012301066","Public charter school",2024
462,NA,"Public district school",2024
465,"270034304133","Public charter school",2022
466,NA,"Independent (private) school",2025
469,"60241612208","Public charter school",2024
471,"500045000395","Public district school",2025
472,NA,"Public district school",2025
473,"500936000389","Public district school",2023
474,"270026103319","Public charter school",2024
475,"","Public district school",2022
476,"060221314196","Public charter school",2023
477,"180008602478","Public charter school",2022
478,NA,"Public district school",2024
479,"360105606317","Public charter school",2023
480,"480141513534","Public charter school",2024
481,"480141513108","Public charter school",2021
482,"480141512439","Public charter school",2021
483,"260104808796","Public charter school",2025
493,NA,"Public charter school",2023
495,"A2103361","Independent (private) school",2024
497,"360009802081","Public district school",2023
498,"160348001091","Public district school",2023
499,"80192006434","Public district school",2024
501,"490039001562","Public district school",2024
502,"291854001665","Public district school",2025
504,"360096406038","Public charter school",2025
505,"A0701595","Independent (private) school",2022
506,NA,"Independent (private) school",2025
511,"480005808056","Public charter school",2023
512,NA,"Independent (private) school",2025
515,"270045805256","Public charter school",2022
517,"180010102521","Public charter school",2023
518,"450339001554","Public district school",2025
519,"360008702332","Public district school",2023
520,"080396000516","Public district school",2023
521,"80432000596","Public district school",2022
522,"080666001924","Public district school",2023
523,"160018901113","Public charter school",2022
526,"370472003402","Public district school",2023
527,"80387006462","Public district school",2022
528,"420012200758","Public charter school",2022
530,"230618000165","Public district school",2025
532,"500285000074","Public district school",2024
535,"260769004353 (parent school)","Public district school",2023
536,"530492000749","Public district school",2024
537,"380004400138","Public district school",2025
539,"500044400022","Public district school",2025
540,NA,"Independent (private) school",2024
541,"550951002882","Public charter school",2025
542,"490017101460","Public charter school",2022
543,"500561000125","Public district school",2022
545,"A1700094","Independent (private) school",2025
549,"40099003649","Public charter school",2025
555,"130255002387","Public district school",2025
559,"40880000851","Public district school",2025
565,"530807002355","Public district school",2022
566,"BB180115","Independent (private) school",2025
567,NA,"Independent (private) school",2023
568,"530135002987","Public district school",2023
569,NA,"Independent (private) school",2025
571,NA,"Public district school",2024
572,NA,"Independent (private) school",2025
573,"","Independent (private) school",2022
575,"120153004426","Public charter school",2022
577,NA,"Independent (private) school",2023
579,"120009005431","Public charter school",2025
581,"720003001945","Public charter school",2022
586,"480020713927","Public charter school",2022
587,"040096503556","Public charter school",2023
588,NA,"Public district school",2023
594,"174007004037","Public district school",2022
600,"40752002768","Public district school",2025
601,"220030402457","Public charter school",2022
604,NA,"Independent (private) school",2023
605,NA,"Public district school",2023
606,"A1900008","Independent (private) school",2025
607,NA,"Independent (private) school",2025
608,"A1190082","Independent (private) school",2025
610,"","Independent (private) school",2022
612,"","Independent (private) school",2022
615,NA,"Independent (private) school",2023
619,"064119006825","Public district school",2023
620,NA,"Public charter school",2024
621,"60229313702","Public charter school",2024
622,"130026304378","Public charter school",2023
623,"","Public district school",2022
624,NA,"Public district school",2023
625,"530035003770","Public charter school",2025
627,"040097503596","Public charter school",2023
628,"530034203602","Public charter school",2025
630,"360008706247","Public district school",2022
633,"360009106366","Public district school",2022
