variable,full_label,short_label
ccl_model_other_text,Which of the following best describes the model your school uses to organize career-connected learning?,Which type of model are you using to organize CCL?
ccl_model_none,We are not currently using a defined model,Not using defined model
ccl_partner_exploration,Partners support career exploration,Support career exploration
ccl_partner_advising,Partners advise or participate in school governance,Advise or participate in school governance
ccl_partner_opportunities,Partners offer experiential learning opportunities,Offer experiential learning opportunities
ccl_partner_employment,Partners create dedicated employment pipelines,Create dedicated employment pipelines
ccl_tracking,Does your school systematically track information on students after they leave your school?,Does your school systematically track students after they leave your school?
ccl_outcome_engagement,Engagement,Engagement
ccl_outcome_belonging,Belonging,Belonging
ccl_outcome_academic,Academic success,Academic success
ccl_outcome_economic,Economic mobility,Economic mobility
ccl_outcome_identity,Identity and purpose,Identity and purpose
ccl_outcome_civic,Civic engagement and responsibility,Civic engagement and responsibility
ccl_outcome_agency,Agency and self-direction,Agency and self-direction
ccl_outcome_durable,Durable skills,Durable skills
ccl_outcome_social,Social capital,Social capital
ccl_outcome_access,Higher education access,Higher education access
ccl_outcome_retention,Higher education success,Higher education success
ccl_outcome_credentials,Industry credentials,Industry credentials
ccl_outcome_employment,Work-based skills and employability,Work-based skills and employability
ccl_outcome_engagement_measure,Engagement,Engagement
ccl_outcome_belonging_measure,Belonging,Belonging
ccl_outcome_academic_measure,Academic success,Academic success
ccl_outcome_economic_measure,Economic mobility,Economic mobility
ccl_outcome_identity_measure,Identity and purpose,Identity and purpose
ccl_outcome_civic_measure,Civic engagement and responsibility,Civic engagement and responsibility
ccl_outcome_agency_measure,Agency and self-direction,Agency and self-direction
ccl_outcome_durable_measure,Durable skills,Durable skills
ccl_outcome_social_measure,Social capital,Social capital
ccl_outcome_access_measure,Higher education access,Higher education access
ccl_outcome_retention_measure,Higher education success,Higher education success
ccl_outcome_credentials_measure,Industry credentials,Industry credentials
ccl_outcome_employment_measure,Work-based skills and employability,Work-based skills and employability
ccl_barrier_utility,We're not sure what information would be most useful to track,Information to track
ccl_barrier_assessment,We're not sure what assessment or measure to use,Assessment to use
ccl_barrier_resource,The data we need is difficult and time-consuming to collect/gather,Collecting data
ccl_barrier_access,"The data exists, but we can't access it",Accessing data
ccl_barrier_integration,"The data exists and we can access it, but it's housed in different systems that don't connect",Integrating data systems
ccl_barrier_analysis,We lack the systems or tools to analyze the data,Analyzing data
ccl_barrier_capacity,We lack the time or staff capacity to regularly use this information,Capacity to regularly use data
ccl_barrier_accountability,Required accountability reporting limits our ability to track a broader set of outcomes,Accountability reporting
ccl_capacity_staffing,Staffing,Staffing
ccl_capacity_coordination,Dedicated coordination time,Coordination time
ccl_capacity_pd,Teaching training or professional learning,Teacher training/PD
ccl_capacity_advising,Structures for student guidance and pathway planning,Advising/planning structures
ccl_capacity_scheduling,Scheduling/time for implementation,Scheduling/time for implementation
ccl_capacity_transportation,Transportation,Transportation
ccl_capacity_funding,Funding,Funding
ccl_capacity_curriculum,Aligned curriculum and assessment materials,Curriculum and assessments
ccl_capacity_facilities,"Industry-aligned facilities, equipment, and technology","Facilities, equipment, & technology"
ccl_capacity_employer_partners,Employer or industry partnerships,Employer or industry partnerships
ccl_capacity_highered_partners,Higher education partnerships,Higher education partnerships
ccl_capacity_placement,Student placement or supervision in work-based learning opportunities,Student placement or supervision
ccl_capacity_other,Other,Other
ccl_capacity_other_text,To what extent does your school currently have the capacity needed to deliver high-quality career-connected learning?,To what extent does your school currently have the capacity needed to deliver high-quality CCL?
contact_name,School contact,School contact
contact_role,School contact role,School contact role
contact_email,School contact email,School contact email
respondent_name,Respondent,Respondent
respondent_role,Respondent role,Respondent role
respondent_email,Respondent email,Respondent email
respondent_race,Respondent race,Respondent race
respondent_gender,Respondent gender,Respondent gender
leader_race,Leader race,Leader race
leader_gender,Leader gender,Leader gender
practices_mentoring,1:1 mentoring,1:1 mentoring
practices_adaptive_content,adaptive learning software,adaptive learning software
practices_advancement_mastery,advancement on mastery,advancement on mastery
practices_ai_materials,AI for learning materials,AI for learning materials
practices_ai_productivity,AI for teacher productivity,AI for teacher productivity
practices_ai_tutoring,AI-assisted tutoring,AI-assisted tutoring
practices_inclusion,all courses designed for inclusion,all courses designed for inclusion
practices_anti_racist,anti-racist practices,anti-racist practices
practices_assessments_agency,assessments for agency and self-directed learning,assessments for agency and self-directed learning
practices_assessments_career,assessments for career readiness,assessments for career readiness
practices_assessments_deeper,assessments for deeper learning,assessments for deeper learning
practices_assessments_sel,assessments for social-emotional skills,assessments for social-emotional skills
practices_blended_learning,blended learning,blended learning
practices_career_prep,career-connected learning,career-connected learning
practices_coleadership,co-leadership,co-leadership
practices_community_partnerships,community and business partnerships,community and business partnerships
practices_colead_cbo,community-based organizations as co-leaders,CBOs as co-leaders
practices_competency_education,competency/mastery-based education,competency/mastery-based education
practices_culturally_responsive,culturally responsive practices,culturally responsive practices
practices_disaggregated_participation_data,disaggregated data on student participation,disaggregated data on student participation
practices_dual_language,dual language programming,dual language programming
practices_early_college,early college high school,early college high school
practices_extended_time,extended learning time,extended learning time
practices_colead_family,families as co-leaders,families as co-leaders
practices_community_supports,family and community support services,family and community support services
practices_flexible_staffing,flexible staffing & alternative teaching roles,flexible staffing & alternative teaching roles
practices_grading_mastery,grading policies focus on mastery,grading policies focus on mastery
practices_quality_materials,high quality instructional materials,high quality instructional materials
practices_learner_profiles,individual learner profiles,individual learner profiles
practices_learning_paths,individual learning paths,individual learning paths
practices_colead_industry,industry-based partners as co-leaders,industry partners as co-leaders
practices_interoperability,interoperable data from multiple technologies,interoperable data
practices_mental_health,mental health services,mental health services
practices_multi_age,multi-age classrooms,multi-age classrooms
practices_mtss_academics,multi-tiered system of support (MTSS) in academics,MTSS in academics
practices_ai_literacy,AI literacy for students,AI literacy for students
practices_apprenticeships,apprenticeships,apprenticeships
practices_career_advising,career advising & support,career advising & support
practices_client_projects,client projects,client projects
practices_coop_ed,cooperative education,cooperative education
practices_industry_pathways,industry-aligned learning pathways,industry-aligned learning pathways
practices_internships,internships,internships
practices_youth_employment,youth employment programs,youth employment programs
practices_career_exploration,career exploration,career exploration
practices_college_advising,college advising & support,college advising & support
practices_higher_ed_partnerships,higher education partnerships,higher education partnerships
practices_industry_educators,educators have industry experience,educators have industry experience
practices_micro_credentials,micro-credentials and badging,micro-credentials and badging
practices_school_enterprises,school-based enterprises,school-based enterprises
practices_no_tracking,no tracked classes,no tracked classes
practices_peer_to_peer,peer to peer support,peer to peer support
practices_performance_assessment,performance based assessment,performance based assessment
practices_networking,industry networking,industry networking
practices_service_learning,service learning,service learning
practices_pbl,project-based learning,project-based learning
practices_reallocation_resources,reallocation of resources for students most in need,reallocation of resources
practices_restorative,restorative practices,restorative practices
practices_sel_curriculum,SEL curriculum,SEL curriculum
practices_sel_integrated,SEL integration school-wide,SEL integration school-wide
practices_student_pace,self-paced learning,self-paced learning
practices_advisories,student advisories,student advisories
practices_student_conferences,student-led conferences,student-led conferences
practices_student_goals,student-led goal setting,student-led goal setting
practices_student_data,students access their own data,students access their own data
practices_colead_students,students as co-leaders,students as co-leaders
practices_student_projects,students develop projects,students develop projects
practices_industry_credentials,students earn industry credentials,students earn industry credentials
practices_colead_teachers,teachers as co-leaders,teachers as co-leaders
practices_trauma_informed,trauma-informed practices,trauma-informed practices
practices_tutoring,tutoring,tutoring
practices_udl,universal design for learning,universal design for learning
core_mentoring,1:1 mentoring,1:1 mentoring
core_adaptive_content,adaptive learning software,adaptive learning software
core_advancement_mastery,advancement on mastery,advancement on mastery
core_ai_materials,AI for learning materials,AI for learning materials
core_ai_productivity,AI for teacher productivity,AI for teacher productivity
core_ai_tutoring,AI-assisted tutoring,AI-assisted tutoring
core_inclusion,all courses designed for inclusion,all courses designed for inclusion
core_anti_racist,anti-racist practices,anti-racist practices
core_assessments_agency,assessments for agency and self-directed learning,assessments for agency and self-directed learning
core_assessments_career,assessments for career readiness,assessments for career readiness
core_assessments_deeper,assessments for deeper learning,assessments for deeper learning
core_assessments_sel,assessments for social-emotional skills,assessments for social-emotional skills
core_blended_learning,blended learning,blended learning
core_career_prep,career-connected learning,career-connected learning
core_coleadership,co-leadership,co-leadership
core_community_partnerships,community and business partnerships,community and business partnerships
core_colead_cbo,community-based organizations as co-leaders,CBOs as co-leaders
core_competency_education,competency/mastery-based education,competency/mastery-based education
core_culturally_responsive,culturally responsive practices,culturally responsive practices
core_disaggregated_participation_data,disaggregated data on student participation,disaggregated data on student participation
core_dual_language,dual language programming,dual language programming
core_early_college,early college high school,early college high school
core_extended_time,extended learning time,extended learning time
core_colead_family,families as co-leaders,families as co-leaders
core_community_supports,family and community support services,family and community support services
core_flexible_staffing,flexible staffing & alternative teaching roles,flexible staffing & alternative teaching roles
core_grading_mastery,grading policies focus on mastery,grading policies focus on mastery
core_quality_materials,high quality instructional materials,high quality instructional materials
core_learner_profiles,individual learner profiles,individual learner profiles
core_learning_paths,individual learning paths,individual learning paths
core_colead_industry,industry-based partners as co-leaders,industry partners as co-leaders
core_interoperability,interoperable data from multiple technologies,interoperable data
core_mental_health,mental health services,mental health services
core_multi_age,multi-age classrooms,multi-age classrooms
core_mtss_academics,multi-tiered system of support (MTSS) in academics,MTSS in academics
core_ai_literacy,AI literacy for students,AI literacy for students
core_apprenticeships,apprenticeships,apprenticeships
core_career_advising,career advising & support,career advising & support
core_client_projects,client projects,client projects
core_coop_ed,cooperative education,cooperative education
core_industry_pathways,industry-aligned learning pathways,industry-aligned learning pathways
core_internships,internships,internships
core_youth_employment,youth employment programs,youth employment programs
core_career_exploration,career exploration,career exploration
core_college_advising,college advising & support,college advising & support
core_higher_ed_partnerships,higher education partnerships,higher education partnerships
core_industry_educators,educators have industry experience,educators have industry experience
core_micro_credentials,micro-credentials and badging,micro-credentials and badging
core_school_enterprises,school-based enterprises,school-based enterprises
core_no_tracking,no tracked classes,no tracked classes
core_peer_to_peer,peer to peer support,peer to peer support
core_performance_assessment,performance based assessment,performance based assessment
core_networking,industry networking,industry networking
core_service_learning,service learning,service learning
core_pbl,project-based learning,project-based learning
core_reallocation_resources,reallocation of resources for students most in need,reallocation of resources
core_restorative,restorative practices,restorative practices
core_sel_curriculum,SEL curriculum,SEL curriculum
core_sel_integrated,SEL integration school-wide,SEL integration school-wide
core_student_pace,self-paced learning,self-paced learning
core_advisories,student advisories,student advisories
core_student_conferences,student-led conferences,student-led conferences
core_student_goals,student-led goal setting,student-led goal setting
core_student_data,students access their own data,students access their own data
core_colead_students,students as co-leaders,students as co-leaders
core_student_projects,students develop projects,students develop projects
core_industry_credentials,students earn industry credentials,students earn industry credentials
core_colead_teachers,teachers as co-leaders,teachers as co-leaders
core_trauma_informed,trauma-informed practices,trauma-informed practices
core_tutoring,tutoring,tutoring
core_udl,universal design for learning,universal design for learning
time_mentoring,1:1 mentoring,1:1 mentoring
time_adaptive_content,adaptive learning software,adaptive learning software
time_advancement_mastery,advancement on mastery,advancement on mastery
time_ai_materials,AI for learning materials,AI for learning materials
time_ai_productivity,AI for teacher productivity,AI for teacher productivity
time_ai_tutoring,AI-assisted tutoring,AI-assisted tutoring
time_inclusion,all courses designed for inclusion,all courses designed for inclusion
time_anti_racist,anti-racist practices,anti-racist practices
time_assessments_agency,assessments for agency and self-directed learning,assessments for agency and self-directed learning
time_assessments_career,assessments for career readiness,assessments for career readiness
time_assessments_deeper,assessments for deeper learning,assessments for deeper learning
time_assessments_sel,assessments for social-emotional skills,assessments for social-emotional skills
time_blended_learning,blended learning,blended learning
time_career_prep,career-connected learning,career-connected learning
time_coleadership,co-leadership,co-leadership
time_community_partnerships,community and business partnerships,community and business partnerships
time_colead_cbo,community-based organizations as co-leaders,CBOs as co-leaders
time_competency_education,competency/mastery-based education,competency/mastery-based education
time_culturally_responsive,culturally responsive practices,culturally responsive practices
time_disaggregated_participation_data,disaggregated data on student participation,disaggregated data on student participation
time_dual_language,dual language programming,dual language programming
time_early_college,early college high school,early college high school
time_extended_time,extended learning time,extended learning time
time_colead_family,families as co-leaders,families as co-leaders
time_community_supports,family and community support services,family and community support services
time_flexible_staffing,flexible staffing & alternative teaching roles,flexible staffing & alternative teaching roles
time_grading_mastery,grading policies focus on mastery,grading policies focus on mastery
time_quality_materials,high quality instructional materials,high quality instructional materials
time_learner_profiles,individual learner profiles,individual learner profiles
time_learning_paths,individual learning paths,individual learning paths
time_colead_industry,industry-based partners as co-leaders,industry partners as co-leaders
time_interoperability,interoperable data from multiple technologies,interoperable data
time_mental_health,mental health services,mental health services
time_multi_age,multi-age classrooms,multi-age classrooms
time_mtss_academics,multi-tiered system of support (MTSS) in academics,MTSS in academics
time_ai_literacy,AI literacy for students,AI literacy for students
time_apprenticeships,apprenticeships,apprenticeships
time_career_advising,career advising & support,career advising & support
time_client_projects,client projects,client projects
time_coop_ed,cooperative education,cooperative education
time_industry_pathways,industry-aligned learning pathways,industry-aligned learning pathways
time_internships,internships,internships
time_youth_employment,youth employment programs,youth employment programs
time_career_exploration,career exploration,career exploration
time_college_advising,college advising & support,college advising & support
time_higher_ed_partnerships,higher education partnerships,higher education partnerships
time_industry_educators,educators have industry experience,educators have industry experience
time_micro_credentials,micro-credentials and badging,micro-credentials and badging
time_school_enterprises,school-based enterprises,school-based enterprises
time_no_tracking,no tracked classes,no tracked classes
time_peer_to_peer,peer to peer support,peer to peer support
time_performance_assessment,performance based assessment,performance based assessment
time_networking,industry networking,industry networking
time_service_learning,service learning,service learning
time_pbl,project-based learning,project-based learning
time_reallocation_resources,reallocation of resources for students most in need,reallocation of resources
time_restorative,restorative practices,restorative practices
time_sel_curriculum,SEL curriculum,SEL curriculum
time_sel_integrated,SEL integration school-wide,SEL integration school-wide
time_student_pace,self-paced learning,self-paced learning
time_advisories,student advisories,student advisories
time_student_conferences,student-led conferences,student-led conferences
time_student_goals,student-led goal setting,student-led goal setting
time_student_data,students access their own data,students access their own data
time_colead_students,students as co-leaders,students as co-leaders
time_student_projects,students develop projects,students develop projects
time_industry_credentials,students earn industry credentials,students earn industry credentials
time_colead_teachers,teachers as co-leaders,teachers as co-leaders
time_trauma_informed,trauma-informed practices,trauma-informed practices
time_tutoring,tutoring,tutoring
time_udl,universal design for learning,universal design for learning
